secretaria,nome_agrupamento,serviço,subcategoria,responsavel
ARSBAN,Ouvidoria em Saneamento Básico,Serviços Diversos,Viabilidade Técnica,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços Diversos,Outros serviços,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços Diversos,Denúncia,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços Diversos,Vistoria de instalações hidráulicas prediais,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços de Hidrômetros,Instalação de hidrômetro no ramal,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços de Hidrômetros,Outros serviços de hidrômetro,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços de Hidrômetros,Aferição de hidrômetro,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Água,Vazamento de água,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Água,Falta de água,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Água,Qualidade da água,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Água,Outros serviços de água,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Esgoto,Desobstrução de rede de esgoto,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Esgoto,Corte do ramal do esgoto,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Esgoto,Conserto de caixa de inspeção,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Esgoto,Outros de serviços de esgoto,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Esgoto,Reposição / Manutenção de Tampa / Tampão poço de visita,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços Comerciais,Revisão de contas,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços Comerciais,Alteração Cadastral,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços Comerciais,Negociação de débito,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços Comerciais,Outros serviços,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços Operacionais,Reposição de pavimentação,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços Operacionais,Remoção de entulhos de obras da CAERN,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços Operacionais,Restauração de calçada,Arthur
ARSBAN,Ouvidoria em Saneamento Básico,Serviços Operacionais,Outros serviços operacionais,Arthur
PROCON,PROCON,Mercado de Combustíveis,Denúncias,Arthur
PROCON,PROCON,Denúncias - PROCON,Denúncias,Arthur
PROCON,PROCON,Outros Serviços,Outros Serviços,Arthur
PROCON,PROCON,Energia,Suspensão indevida,Arthur
PROCON,PROCON,Energia,Cobranças indevidas,Arthur
PROCON,PROCON,Energia,Duplicidade de cobranças,Arthur
PROCON,PROCON,Energia,Outros serviços,Arthur
PROCON,PROCON,Energia,Negocição de débito,Arthur
PROCON,PROCON,Banco,Itaú,Arthur
PROCON,PROCON,Banco,Santander,Arthur
PROCON,PROCON,Banco,Financeiras,Arthur
PROCON,PROCON,Banco,Caixa econômica,Arthur
PROCON,PROCON,Banco,Banco do Brasil,Arthur
PROCON,PROCON,Banco,Bradesco,Arthur
PROCON,PROCON,Banco,Outros,Arthur
PROCON,PROCON,Água,Cobranças indevidas,Arthur
PROCON,PROCON,Água,Negociação de débito,Arthur
